title,url,source,pubdate,date
北大称将优化入校服务,http://education.news.cn/2023-12/22/c_1130041210.htm,新华网教育,,2026-02-06
2024届高校毕业生规模预计达1179万人,http://education.news.cn/2023-12/06/c_1130010772.htm,新华网教育,,2026-02-06
新华全媒+丨拥抱新学期 遇见“新”成长——全国多地中小学开学首日见闻,http://education.news.cn/2023-09/01/c_1129841389.htm,新华网教育,,2026-02-06
教育系统多措并举持续为未就业毕业生提供就业指导服务,http://education.news.cn/2023-07/07/c_1129738606.htm,新华网教育,,2026-02-06
权威部门话开局丨办好人民满意的教育——教育部有关负责人谈加快建设教育强国,http://education.news.cn/2023-07/06/c_1129736414.htm,新华网教育,,2026-02-06
权威部门话开局丨我国加快构建优质均衡的基本公共教育服务体系,http://education.news.cn/2023-07/06/c_1129736408.htm,新华网教育,,2026-02-06
教育部：坚定不移推进国家教育数字化战略行动,http://education.news.cn/2023-06/20/c_1129709157.htm,新华网教育,,2026-02-06
第九届中国国际“互联网+”大学生创新创业大赛“青年红色筑梦之旅”活动启动,http://education.news.cn/2023-06/10/c_1129683260.htm,新华网教育,,2026-02-06
2023年全国高校学生国家安全素养展示活动在长安大学举行,http://education.news.cn/2023-04/14/c_1129521173.htm,新华网教育,,2026-02-06
我国将深入开展青少年学生读书行动,http://education.news.cn/2023-03/28/c_1129473236.htm,新华网教育,,2026-02-06
新华全媒+｜你好！新学期——全国多地中小学开学首日见闻,http://education.news.cn/2023-02/14/c_1129362369.htm,新华网教育,,2026-02-06
世界数字教育大会发布智慧教育蓝皮书与发展指数报告,http://education.news.cn/2023-02/13/c_1129362290.htm,新华网教育,,2026-02-06
新华全媒+｜满怀信心 为梦想而战——2023年全国硕士研究生招生考试首日见闻,http://education.news.cn/2022-12/24/c_1129230704.htm,新华网教育,,2026-02-06
80名白俄罗斯学生获“中国大使奖学金”,http://education.news.cn/2022-11/23/c_1129154177.htm,新华网教育,,2026-02-06
教育部教育考试院回应“高考数学疑似泄题”：已接到相关举报并报案,http://education.news.cn/2022-06/07/c_1128721724.htm,新华网教育,,2026-02-06
民企高校“携手”共促高校毕业生就业,http://education.news.cn/2022-05/27/c_1128691253.htm,新华网教育,,2026-02-06
教育部对义务教育阶段学科类校外培训治理“回头看”,http://education.news.cn/2022-04/02/c_1128528626.htm,新华网教育,,2026-02-06
广东东莞将在大朗镇内增设全国硕士研究生招生考试初试考点,http://education.news.cn/2021-12/20/c_1128183252.htm,新华网教育,,2026-02-06
山东桓台一中“早早读”被责令取消,http://education.news.cn/2021-11/26/c_1128101292.htm,新华网教育,,2026-02-06
不分文理科，江西实施高考综合改革,http://education.news.cn/2021-09/15/c_1127866596.htm,新华网教育,,2026-02-06
贵州启动高考综合改革,http://education.news.cn/2021-09/15/c_1127866581.htm,新华网教育,,2026-02-06
吉林省公布“新高考”方案 采用“3+1+2”模式,http://education.news.cn/2021-09/15/c_1127866573.htm,新华网教育,,2026-02-06
浙江公布“双减”方案 严控资本过度涌入培训机构,http://education.news.cn/2021-08/31/c_1127814653.htm,新华网教育,,2026-02-06
为中西部教育提质补短板、为乡村振兴培养更多“四有”好老师——一线教育专家、教师解读“优师计划”,http://education.news.cn/2021-08/04/c_1127730884.htm,新华网教育,,2026-02-06
强化学校教育主阵地作用 深化校外培训机构治理——解读《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》,http://education.news.cn/2021-07/24/c_1127691448.htm,新华网教育,,2026-02-06
运城市新康国际实验学校褚密珠：每个孩子都是独立的个体 需要因材施教,http://education.news.cn/2021-07/14/c_1211240695.htm,新华网教育,,2026-02-06
浙江大学“通专跨融合”培养 实行“1+7+N”招生模式,http://education.news.cn/2021-06/18/c_1211206064.htm,新华网教育,,2026-02-06
陈光标获聘陕西省咸阳旬邑县马栏齐心学校名誉校长,http://education.news.cn/2021-06/16/c_1211203376.htm,新华网教育,,2026-02-06
教育部发布预警：谨防“高价志愿填报指导”诈骗陷阱,http://education.news.cn/2021-06/16/c_1211203149.htm,新华网教育,,2026-02-06
教育部课程思政建设工作推进会召开,http://education.news.cn/2021-06/11/c_1127552131.htm,新华网教育,,2026-02-06
“学生们含泪追车送别”视频感动网友 支教老师讲述背后的故事,http://education.news.cn/2021-06/08/c_1211191429.htm,新华网教育,,2026-02-06
清华大学成立集成电路学院,http://education.news.cn/2021-04/22/c_1127363332.htm,新华网教育,,2026-02-06
党史故事百校讲述丨歌乐山下，听重庆大学讲述红岩精神铸忠魂的故事！,http://education.news.cn/2021-04/15/c_1211112224.htm,新华网教育,,2026-02-06
2012年以来我国有514.05万贫困学生接受高等教育,http://education.news.cn/2021-03/31/c_1127280174.htm,新华网教育,,2026-02-06
改写西海固学子命运的“特殊高中”:培养5万多名大学生,http://education.news.cn/2021-02/26/c_1211041464.htm,新华网教育,,2026-02-06
北京：学生每天校内外各参加1小时以上体育锻炼,http://education.news.cn/2021-01/18/c_1126996984.htm,新华网教育,,2026-02-06
绽放奋斗光芒，激荡青春力量——记2020年“最美高校辅导员”“最美大学生”（上）,http://education.news.cn/2021-01/09/c_1126964279.htm,新华网教育,,2026-02-06
孩子需要什么样的诗歌教育,http://education.news.cn/2021-01/03/c_1126939756.htm,新华网教育,,2026-02-06
北京：中风险地区达7个 高校调整寒假离京管控措施,http://education.news.cn/2021-01/02/c_1126939553.htm,新华网教育,,2026-02-06
支持海南自贸港率先开放！允许境外理工农医类高水平大学独立办学,http://education.news.cn/2020-12/31/c_1126934790.htm,新华网教育,,2026-02-06
贵州农村学前教育儿童营养改善计划每年惠及80万儿童,http://education.news.cn/2020-12/31/c_1126930986.htm,新华网教育,,2026-02-06
权威快报｜八省市2021新高考来了,http://education.news.cn/2020-12/30/c_1126924899.htm,新华网教育,,2026-02-06
重拾“戒尺”是为了更好地育人,http://education.news.cn/2020-12/30/c_1126924127.htm,新华网教育,,2026-02-06
一图速览：八省份高考综合改革试点实施方案出炉,http://education.news.cn/2020-12/29/c_1126923610.htm,新华网教育,,2026-02-06
